Pokemon,Fast Move,Charged Move,DPS,TDO,DPS^3*TDO,CP
Dragonite,Dragon Tail,Dragon Pulse,15.774,522.3,2049.7,3792
Gengar,Shadow Claw,Shadow Ball,18.033,348.9,2046,2878
Heatran,Fire Spin,Flamethrower,15.492,549.1,2041.5,3754
Chandelure,Fire Spin,Overheat,17.129,398.1,2000.5,3268
Entei,Fire Spin,Overheat,15.502,532.3,1982.8,3473
Mewtwo,Psycho Cut,Focus Blast,15.826,495.5,1963.9,4178
Blaziken,Fire Spin,Blast Burn,17.247,382.8,1963.5,2848
Espeon,Confusion,Psychic,16.965,398.2,1944.3,3170
Darkrai,Feint Attack,Dark Pulse,16.284,450.1,1943.8,3739
Salamence,Dragon Tail,Hydro Pump,16.036,470.4,1939.7,3749
Salamence,Bite,Draco Meteor,16.022,470,1933,3749
Dragonite,Steel Wing,Draco Meteor,15.522,513.9,1921.9,3792
Alakazam,Confusion,Psychic,17.521,356.3,1916.4,3057
Zapdos,Thunder Shock,Thunderbolt,15.756,485.5,1899,3527
Zapdos,Thunder Shock,Thunderbolt,15.756,485.5,1899,3527
Electivire,Thunder Shock,Wild Charge,16.735,405.2,1898.8,3079
Dragonite,Dragon Tail,Hyper Beam,15.456,511.8,1889.5,3792
Mamoswine,Powder Snow,Avalanche,16.016,459.9,1889.3,3328
Garchomp,Mud Shot,Earthquake,15.056,552,1884,3962
Swampert,Water Gun,Hydro Cannon,15.61,494,1879.1,2974
Moltres,Wing Attack,Overheat,15.79,476.8,1877.1,3465
Rhyperior,Mud Slap,Earthquake,14.919,564.6,1874.6,3733
Palkia,Dragon Tail,Fire Blast,15.473,503.8,1866.6,3991
Kyogre,Waterfall,Blizzard,14.967,555.3,1861.7,4115
Latios,Zen Headbutt,Dragon Claw,15.495,500.4,1861.7,3812
Machamp,Counter,Dynamic Punch,16.211,434.6,1851.5,3056
Weavile,Snarl,Avalanche,16.608,400.9,1836.2,3005
Mewtwo,Psycho Cut,Flamethrower,15.556,487,1833.4,4178
Alakazam,Psycho Cut,Psychic,17.309,352,1825.5,3057
Dragonite,Dragon Breath,Dragon Pulse,15.322,507.3,1825.1,3792
Dragonite,Dragon Breath,Hurricane,15.318,507.2,1823,3792
Dragonite,Dragon Breath,Return,15.317,507.2,1822.7,3792
Kingler,Bubble,Crabhammer,16.982,371.9,1821.4,2829
Swampert,Mud Shot,Hydro Cannon,15.482,489.9,1818.1,2974
Latios,Dragon Breath,Solar Beam,15.4,497.3,1816.1,3812
Entei,Fire Fang,Flamethrower,15.13,519.5,1799.1,3473
Mewtwo,Psycho Cut,Ice Beam,15.463,484.1,1789.9,4178
Dragonite,Steel Wing,Dragon Claw,15.215,503.8,1774.6,3792
Rampardos,Smack Down,Outrage,17.229,346.9,1774.3,3298
Heatran,Fire Spin,Iron Head,14.938,529.5,1765,3754
Darkrai,Snarl,Focus Blast,15.896,439.4,1764.7,3739
Heatran,Fire Spin,Fire Blast,14.931,529.2,1761.5,3754
Groudon,Dragon Tail,Solar Beam,14.729,546.5,1746.3,4115
Gengar,Shadow Claw,Sludge Bomb,17.327,335.2,1743.8,2878
Machamp,Karate Chop,Dynamic Punch,15.931,427.1,1726.6,3056
Gengar,Lick,Sludge Bomb,17.281,334.3,1725.4,2878
Magnezone,Spark,Wild Charge,15.677,447.6,1724.7,3205
Rhyperior,Smack Down,Earthquake,14.603,552.6,1721,3733
Sceptile,Fury Cutter,Frenzy Plant,16.367,390.8,1713.6,2757
Latias,Dragon Breath,Psychic,14.646,543.8,1708.3,3510
Lugia,Extrasensory,Sky Attack,13.159,741.9,1690.4,3703
Rampardos,Zen Headbutt,Rock Slide,17.021,342.7,1690.1,3298
Zapdos,Thunder Shock,Discharge,15.287,471,1682.6,3527
Zapdos,Thunder Shock,Discharge,15.287,471,1682.6,3527
Tyranitar,Bite,Stone Edge,14.603,539.9,1681.3,3834
Garchomp,Dragon Tail,Fire Blast,14.628,536.3,1678.9,3962
Rayquaza,Air Slash,Aerial Ace,15.474,452.9,1678.1,3835
Gengar,Hex,Shadow Ball,17.131,331.4,1666.3,2878
Roserade,Poison Jab,Grass Knot,16.301,384.6,1665.8,2971
Charizard,Fire Spin,Blast Burn,15.875,416.3,1665.4,2889
Excadrill,Mud Slap,Drill Run,15.954,409.7,1663.8,3244
Salamence,Dragon Tail,Fire Blast,15.431,452.7,1663.4,3749
Latias,Dragon Breath,Outrage,14.545,540.1,1662.1,3510
Excadrill,Metal Claw,Earthquake,15.948,409.6,1661.5,3244
Groudon,Mud Shot,Solar Beam,14.542,539.5,1658.9,4115
Excadrill,Metal Claw,Drill Run,15.937,409.3,1656.8,3244
Entei,Fire Spin,Flamethrower,14.817,508.8,1655.1,3473
Raikou,Thunder Shock,Thunderbolt,15.028,486.2,1650.1,3452
Crawdaunt,Snarl,Crabhammer,17.116,326.3,1636.4,2474
Hydreigon,Bite,Dark Pulse,15.056,479.4,1636.1,3625
Hydreigon,Dragon Breath,Dark Pulse,15.056,479.4,1636.1,3625
Espeon,Zen Headbutt,Psychic,16.234,381,1630.1,3170
Dragonite,Dragon Breath,Hyper Beam,14.891,493,1627.8,3792
Gengar,Sucker Punch,Shadow Ball,17.024,329.4,1625,2878
Feraligatr,Water Gun,Hydro Cannon,15.255,457.7,1624.9,2857
Excadrill,Mud Slap,Earthquake,15.848,407,1620.2,3244
Blaziken,Counter,Blaze Kick,16.417,364.3,1612.2,2848
Deoxys (Normal Forme),Zen Headbutt,Thunderbolt,18.515,253.9,1611.6,3160
Zapdos,Charge Beam,Thunderbolt,15.123,466,1611.5,3527
Hydreigon,Bite,Dragon Pulse,14.995,477.4,1609.8,3625
Hydreigon,Dragon Breath,Dragon Pulse,14.995,477.4,1609.8,3625
Raikou,Volt Switch,Wild Charge,14.92,482.7,1603.1,3452
Heatran,Bug Bite,Flamethrower,14.572,516.5,1598.1,3754
Tyranitar,Smack Down,Stone Edge,14.405,532.6,1592,3834
Moltres,Ember,Overheat,15.147,457.4,1589.6,3465
Palkia,Dragon Breath,Fire Blast,14.852,483.6,1584.4,3991
Azelf,Confusion,Future Sight,16.275,367.5,1584.3,3210
Charizard,Wing Attack,Blast Burn,15.642,410.2,1570,2889
Zapdos,Thunder Shock,Drill Peck,15.01,462.5,1564.1,3527
Zapdos,Thunder Shock,Drill Peck,15.01,462.5,1564.1,3527
Weavile,Feint Attack,Avalanche,15.951,385,1562.7,3005
Kyogre,Waterfall,Thunder,14.315,531.1,1557.8,4115
Dialga,Dragon Breath,Thunder,14.576,502.9,1557.5,4038
Exeggutor,Confusion,Psychic,15.598,410.1,1556.3,3014
Entei,Fire Fang,Fire Blast,14.59,501,1556,3473
Dragonite,Steel Wing,Dragon Pulse,14.719,487.4,1554,3792
Honchkrow,Peck,Sky Attack,16.767,329.5,1553.3,2711
Rampardos,Smack Down,Flamethrower,16.648,335.2,1546.9,3298
Rhyperior,Mud Slap,Stone Edge,14.218,538,1546.3,3733
Zapdos,Thunder Shock,Zap Cannon,14.95,460.6,1539.1,3527
Zapdos,Thunder Shock,Zap Cannon,14.95,460.6,1539.1,3527
Tyranitar,Bite,Crunch,14.275,527.8,1535.2,3834
Kingler,Metal Claw,Crabhammer,16.27,356.3,1534.7,2829
Darkrai,Feint Attack,Focus Blast,15.346,424.2,1533,3739
Gardevoir,Confusion,Psychic,15.452,414.4,1528.9,3093
Magnezone,Charge Beam,Wild Charge,15.198,433.9,1523,3205
Exeggutor,Extrasensory,Psychic,15.508,407.7,1520.7,3014
Tyranitar,Smack Down,Crunch,14.236,526.4,1518.5,3834
Dialga,Metal Claw,Thunder,14.472,499.4,1513.7,4038
Hariyama,Counter,Dynamic Punch,15.19,431.1,1511,2829
Moltres,Fire Spin,Fire Blast,14.955,451.6,1510.4,3465
Giratina (Origin Forme),Dragon Tail,Dragon Pulse,13.777,577.5,1510.1,3683
Azelf,Extrasensory,Future Sight,16.074,362.9,1507.2,3210
Weavile,Snarl,Foul Play,15.779,380.9,1496.2,3005
Alolan Exeggutor,Dragon Tail,Solar Beam,15.352,413.5,1495.9,3014
Breloom,Counter,Grass Knot,16.803,315.2,1495.3,2628
Rhyperior,Mud Slap,Surf,14.092,533.3,1492.2,3733
Roserade,Poison Jab,Sludge Bomb,15.849,374,1488.9,2971
Blaziken,Fire Spin,Blaze Kick,16.084,357,1485.2,2848
Latias,Zen Headbutt,Psychic,14.142,525.1,1485.1,3510
Giratina (Origin Forme),Shadow Claw,Dragon Pulse,13.708,574.5,1479.8,3683
Latios,Zen Headbutt,Solar Beam,14.621,472.2,1475.8,3812
Infernape,Fire Spin,Blast Burn,15.944,363.7,1474,2683
Excadrill,Mud Slap,Iron Head,15.475,397.4,1472.8,3244
Zapdos,Charge Beam,Discharge,14.786,455.6,1472.8,3527
Latias,Zen Headbutt,Outrage,14.104,523.7,1469.2,3510
Flareon,Fire Spin,Overheat,15.724,376.8,1465,3029
Roserade,Razor Leaf,Grass Knot,15.782,372.4,1463.8,2971
Luxray,Spark,Wild Charge,15.642,380.5,1456.3,2888
Blaziken,Counter,Overheat,15.981,354.7,1447.5,2848
Tangrowth,Vine Whip,Power Whip,14.452,479,1446,3030
Chandelure,Hex,Overheat,15.792,367,1445.6,3268
Excadrill,Metal Claw,Iron Head,15.402,395.6,1445.4,3244
Rhyperior,Smack Down,Stone Edge,13.98,529,1445.3,3733
Luxray,Snarl,Wild Charge,15.607,379.7,1443.4,2888
Dragonite,Steel Wing,Return,14.446,478.3,1442.2,3792
Feraligatr,Waterfall,Hydro Cannon,14.793,443.9,1436.8,2857
Gardevoir,Charm,Psychic,15.204,407.7,1432.7,3093
Alakazam,Confusion,Shadow Ball,16.269,330.8,1424.6,3057
Dragonite,Steel Wing,Hurricane,14.401,476.8,1423.9,3792
Electivire,Low Kick,Wild Charge,15.561,376.7,1419.5,3079
Breloom,Counter,Dynamic Punch,16.572,310.9,1414.7,2628
Rhyperior,Smack Down,Surf,13.884,525.4,1406.3,3733
Entei,Fire Spin,Fire Blast,14.218,488.2,1403.1,3473
Celebi,Confusion,Psychic,13.903,521,1400,3265
Espeon,Confusion,Future Sight,15.621,366.6,1397.6,3170
Togekiss,Charm,Dazzling Gleam,14.2,486.9,1394.1,3332
Charizard,Air Slash,Blast Burn,15.18,398.1,1392.3,2889
Feraligatr,Ice Fang,Hydro Cannon,14.674,440.3,1391.4,2857
Gardevoir,Confusion,Dazzling Gleam,15.086,404.5,1389,3093
Charizard,Ember,Blast Burn,15.166,397.7,1387.2,2889
Typhlosion,Ember,Blast Burn,15.166,397.7,1387.2,2889
Kingler,Mud Shot,Crabhammer,15.861,347.3,1385.9,2829
Venusaur,Vine Whip,Frenzy Plant,14.782,429,1385.6,2720
Exeggutor,Confusion,Solar Beam,15.147,398.2,1383.8,3014
Torterra,Razor Leaf,Frenzy Plant,14.33,466.3,1372.1,2934
Roserade,Poison Jab,Solar Beam,15.526,366.3,1371.1,2971
Rhyperior,Mud Slap,Skull Bash,13.795,522,1370.5,3733
Salamence,Fire Fang,Hydro Pump,14.7,431.2,1369.8,3749
Exeggutor,Extrasensory,Solar Beam,15.096,396.9,1365.5,3014
Typhlosion,Shadow Claw,Blast Burn,15.105,396.1,1365.1,2889
Zapdos,Charge Beam,Drill Peck,14.484,446.3,1356,3527
Sceptile,Bullet Seed,Frenzy Plant,15.434,368.5,1355,2757
Porygon-Z,Lock-On,Hyper Beam,15.343,374.2,1351.4,3266
Alakazam,Confusion,Future Sight,16.039,326.2,1345.8,3057
Heatran,Bug Bite,Fire Blast,13.95,494.4,1342.1,3754
Raikou,Thunder Shock,Shadow Ball,14.268,461.6,1340.9,3452
Lugia,Dragon Tail,Sky Attack,12.408,699.6,1336.4,3703
Weavile,Ice Shard,Avalanche,15.335,370.1,1334.8,3005
Gengar,Hex,Sludge Bomb,16.181,313.1,1326.2,2878
Gardevoir,Charm,Dazzling Gleam,14.901,399.6,1322.2,3093
Gyarados,Waterfall,Hydro Pump,14.23,458.5,1321.3,3391
Exeggutor,Zen Headbutt,Psychic,14.97,393.6,1320.4,3014
Rampardos,Zen Headbutt,Outrage,15.994,322.1,1317.6,3298
Roserade,Razor Leaf,Sludge Bomb,15.362,362.5,1314,2971
Blaziken,Fire Spin,Overheat,15.592,346,1311.6,2848
Heatran,Bug Bite,Iron Head,13.862,491.3,1308.5,3754
Rhyperior,Smack Down,Skull Bash,13.627,515.7,1304.7,3733
Alolan Golem,Rock Throw,Wild Charge,14.377,435.7,1294.8,2949
Mew,Snarl,Psychic,13.626,510.6,1291.8,3265
Gengar,Sucker Punch,Sludge Bomb,16.071,310.9,1290.8,2878
Dragonite,Steel Wing,Hyper Beam,14.051,465.2,1290.6,3792
Flareon,Fire Spin,Flamethrower,15.223,364.8,1286.8,3029
Machamp,Bullet Punch,Dynamic Punch,14.798,396.7,1285.5,3056
Deoxys (Normal Forme),Zen Headbutt,Hyper Beam,17.494,239.9,1284.2,3160
Heatran,Fire Spin,Stone Edge,13.795,488.9,1283.7,3754
Gardevoir,Confusion,Synchronoise,14.789,396.6,1282.7,3093
Alakazam,Psycho Cut,Shadow Ball,15.823,321.8,1274.6,3057
Arcanine,Fire Fang,Flamethrower,14.614,407.5,1272,3029
Feraligatr,Bite,Hydro Cannon,14.34,430.3,1268.8,2857
Togekiss,Air Slash,Dazzling Gleam,13.864,475.5,1267.1,3332
Ho-Oh,Steel Wing,Fire Blast,13.24,545,1264.9,3863
Weavile,Feint Attack,Foul Play,15.127,365.1,1263.7,3005
Groudon,Dragon Tail,Fire Blast,13.574,503.6,1259.5,4115
Zapdos,Thunder Shock,Return,14.214,438,1257.6,3527
Zapdos,Thunder Shock,Return,14.214,438,1257.6,3527
Tangrowth,Vine Whip,Solar Beam,13.955,462.5,1256.9,3030
Moltres,Wing Attack,Fire Blast,14.28,431.2,1255.7,3465
Latias,Charm,Outrage,13.557,503.4,1254.2,3510
Blaziken,Counter,Focus Blast,15.412,342,1252.2,2848
Tyranitar,Bite,Fire Blast,13.557,501.3,1248.9,3834
Ho-Oh,Steel Wing,Solar Beam,13.181,542.5,1242.5,3863
Latias,Charm,Psychic,13.509,501.6,1236.5,3510
Rhyperior,Mud Slap,Superpower,13.436,508.5,1233.4,3733
Tyranitar,Smack Down,Fire Blast,13.514,499.7,1233.2,3834
Luxray,Hidden Power,Wild Charge,14.989,364.6,1228,2888
Gardevoir,Charm,Synchronoise,14.61,391.8,1221.8,3093
Raikou,Volt Switch,Thunderbolt,13.922,450.4,1215.5,3452
Alakazam,Psycho Cut,Future Sight,15.632,317.9,1214.2,3057
Gyarados,Waterfall,Return,13.909,448.2,1205.9,3391
Tyranitar,Iron Tail,Crunch,13.431,496.6,1203,3834
Exeggutor,Bullet Seed,Psychic,14.619,384.3,1200.7,3014
Rhyperior,Smack Down,Superpower,13.34,504.8,1198.2,3733
Mew,Pound,Psychic,13.363,500.8,1195.1,3265
Torterra,Bite,Frenzy Plant,13.84,450.4,1194.1,2934
Unfezant,Air Slash,Sky Attack,15.108,346,1193.2,2734
Zapdos,Charge Beam,Zap Cannon,14.013,431.8,1188.1,3527
Magmortar,Fire Spin,Fire Punch,14.696,373.8,1186.6,3132
Roserade,Razor Leaf,Solar Beam,14.971,353.2,1185.4,2971
Espeon,Confusion,Last Resort,14.991,351.8,1185.3,3170
Metagross,Bullet Punch,Earthquake,13.597,470,1181.5,3791
Togekiss,Hidden Power,Dazzling Gleam,13.614,466.9,1178.1,3332
Magmortar,Fire Spin,Psychic,14.663,373,1175.7,3132
Arcanine,Fire Fang,Wild Charge,14.326,399.5,1174.7,3029
Metagross,Bullet Punch,Flash Cannon,13.563,468.9,1169.7,3791
Crawdaunt,Waterfall,Crabhammer,15.736,300,1169.1,2474
Salamence,Fire Fang,Fire Blast,14.124,414.3,1167.4,3749
Magmortar,Fire Spin,Fire Blast,14.636,372.3,1167.2,3132
Rhydon,Mud Slap,Earthquake,13.817,442.3,1166.7,3179
Charizard,Fire Spin,Overheat,14.511,380.5,1162.6,2889
Exeggutor,Zen Headbutt,Solar Beam,14.487,380.9,1157.9,3014
Salamence,Bite,Hydro Pump,14.095,413.5,1157.8,3749
Mew,Shadow Claw,Psychic,13.247,496.4,1154.1,3265
Heracross,Counter,Close Combat,14.298,394.6,1153.4,3101
Deoxys (Normal Forme),Charge Beam,Thunderbolt,17.029,233.5,1153.1,3160
Machamp,Counter,Close Combat,14.398,386,1152,3056
Alolan Exeggutor,Dragon Tail,Seed Bomb,14.374,387.1,1149.8,3014
Arcanine,Fire Fang,Return,14.248,397.3,1149.2,3029
Excadrill,Mud Slap,Rock Slide,14.53,373.2,1144.7,3244
Infernape,Rock Smash,Blast Burn,14.961,341.3,1142.8,2683
Gengar,Shadow Claw,Psychic,15.584,301.5,1141.2,2878
Zapdos,Thunder Shock,Thunder,13.872,427.4,1141.1,3527
Zapdos,Thunder Shock,Thunder,13.872,427.4,1141.1,3527
Mew,Dragon Tail,Psychic,13.208,495,1140.6,3265
Ho-Oh,Hidden Power,Fire Blast,12.896,530.8,1138.5,3863
Ho-Oh,Hidden Power,Fire Blast,12.896,530.8,1138.5,3863
Gardevoir,Confusion,Shadow Ball,14.352,384.8,1137.6,3093
Sceptile,Fury Cutter,Leaf Blade,14.747,352.1,1129.2,2757
Ho-Oh,Extrasensory,Fire Blast,12.869,529.7,1128.9,3863
Gyarados,Dragon Tail,Hydro Pump,13.676,440.7,1127.3,3391
Metagross,Zen Headbutt,Earthquake,13.434,464.4,1125.9,3791
Blaziken,Fire Spin,Focus Blast,15.007,333.1,1125.7,2848
Mew,Steel Wing,Psychic,13.152,492.9,1121.2,3265
Ho-Oh,Hidden Power,Solar Beam,12.841,528.5,1119.2,3863
Ho-Oh,Hidden Power,Solar Beam,12.841,528.5,1119.2,3863
Venusaur,Razor Leaf,Frenzy Plant,14.001,406.3,1115.1,2720
Unfezant,Steel Wing,Sky Attack,14.852,340.2,1114.3,2734
Metagross,Zen Headbutt,Flash Cannon,13.394,463,1112.6,3791
Rayquaza,Dragon Tail,Ancient Power,13.959,408.6,1111.4,3835
Mew,Poison Jab,Psychic,13.123,491.8,1111.3,3265
Ho-Oh,Extrasensory,Solar Beam,12.813,527.4,1109.5,3863
Lugia,Extrasensory,Future Sight,11.84,667.6,1108.1,3703
Excadrill,Metal Claw,Rock Slide,14.401,369.8,1104.5,3244
Espeon,Zen Headbutt,Future Sight,14.721,345.5,1102.2,3170
Gyarados,Waterfall,Outrage,13.599,438.2,1102.1,3391
Mew,Infestation,Psychic,13.091,490.6,1100.7,3265
Gardevoir,Charm,Shadow Ball,14.233,381.7,1100.4,3093
Giratina (Origin Forme),Dragon Tail,Ominous Wind,12.729,533.5,1100.4,3683
Entei,Fire Fang,Iron Head,13.376,459.3,1099.2,3473
Alakazam,Confusion,Dazzling Gleam,15.247,310.1,1099.1,3057
Mamoswine,Mud Slap,Bulldoze,13.983,401.5,1097.9,3328
Hariyama,Bullet Punch,Dynamic Punch,14.011,397.6,1093.5,2829
Gardevoir,Charge Beam,Psychic,14.21,381,1093.3,3093
Machamp,Counter,Cross Chop,14.209,380.9,1092.8,3056
Hariyama,Counter,Superpower,14.005,397.5,1091.9,2829
Leafeon,Razor Leaf,Leaf Blade,13.939,402.9,1091.3,2944
Flareon,Ember,Overheat,14.601,349.9,1089.2,3029
Tangrowth,Infestation,Power Whip,13.459,446.1,1087.6,3030
Exeggutor,Confusion,Seed Bomb,14.251,374.7,1084.2,3014
Moltres,Ember,Fire Blast,13.758,415.4,1082,3465
Ho-Oh,Steel Wing,Brave Bird,12.731,524,1081.4,3863
Groudon,Mud Shot,Fire Blast,13.062,484.6,1080,4115
Arcanine,Fire Fang,Fire Blast,14.022,391,1078.1,3029
Moltres,Fire Spin,Heat Wave,13.745,415,1077.8,3465
Houndoom,Fire Fang,Foul Play,14.939,323.1,1077.2,2635
Alolan Exeggutor,Dragon Tail,Dragon Pulse,14.122,380.3,1071.2,3014
Giratina (Origin Forme),Shadow Claw,Ominous Wind,12.634,529.5,1067.8,3683
Jolteon,Thunder Shock,Thunderbolt,14.46,351.9,1064,2888
Toxicroak,Counter,Dynamic Punch,14.9,321.4,1063,2488
Tyranitar,Iron Tail,Stone Edge,13.011,481.1,1059.7,3834
Flareon,Fire Spin,Fire Blast,14.487,347.2,1055.5,3029
Porygon-Z,Charge Beam,Hyper Beam,14.419,351.7,1054.2,3266
Leafeon,Quick Attack,Leaf Blade,13.814,399.3,1052.7,2944
Weavile,Ice Shard,Foul Play,14.439,348.5,1049.1,3005
Mew,Cut,Psychic,12.932,484.6,1048.2,3265
Magnezone,Spark,Zap Cannon,13.836,395,1046.2,3205
Gengar,Lick,Psychic,15.243,294.9,1044.6,2878
Gardevoir,Confusion,Return,14.041,376.5,1042.2,3093
Honchkrow,Snarl,Dark Pulse,15.167,298.1,1040.1,2711
Houndoom,Snarl,Foul Play,14.808,320.3,1039.9,2635
Emboar,Low Kick,Focus Blast,14.23,360.4,1038.4,2982
Breloom,Bullet Seed,Grass Knot,15.331,287.6,1036.3,2628
Jynx,Confusion,Avalanche,14.989,307.4,1035,2555
Lucario,Counter,Shadow Ball,14.958,308.6,1032.8,2703
Charizard,Wing Attack,Overheat,14.085,369.4,1032.2,2889
Gyarados,Bite,Hydro Pump,13.371,430.8,1030,3391
Gyarados,Dragon Breath,Hydro Pump,13.371,430.8,1030,3391
Exeggutor,Extrasensory,Seed Bomb,14.068,369.9,1029.8,3014
Hydreigon,Bite,Flash Cannon,13.409,426.9,1029.4,3625
Hydreigon,Dragon Breath,Flash Cannon,13.409,426.9,1029.4,3625
Giratina (Altered Forme),Shadow Claw,Dragon Claw,11.99,597.1,1029.2,3379
Raikou,Volt Switch,Shadow Ball,13.323,431,1019.3,3452
Flareon,Fire Spin,Last Resort,14.341,343.7,1013.6,3029
Gardevoir,Charm,Return,13.939,373.8,1012.2,3093
Celebi,Charge Beam,Psychic,12.811,480.1,1009.4,3265
Mew,Charge Beam,Psychic,12.811,480.1,1009.4,3265
Luxray,Hidden Power,Wild Charge,14.27,347.1,1008.7,2888
Luxray,Hidden Power,Wild Charge,14.27,347.1,1008.7,2888
Luxray,Hidden Power,Wild Charge,14.27,347.1,1008.7,2888
Luxray,Hidden Power,Wild Charge,14.27,347.1,1008.7,2888
Luxray,Hidden Power,Wild Charge,14.27,347.1,1008.7,2888
Luxray,Hidden Power,Wild Charge,14.27,347.1,1008.7,2888
Luxray,Hidden Power,Wild Charge,14.27,347.1,1008.7,2888
Luxray,Hidden Power,Wild Charge,14.27,347.1,1008.7,2888
Luxray,Hidden Power,Wild Charge,14.27,347.1,1008.7,2888
